sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
M,Jugend,Raw,93,Total,722.5,PETERSEN Simon,"Steirische Meisterschaft KDK Dillach, St",2023-04-30,
M,Junioren,Raw,93,Total,752.5,HOFER René,"Europameisterschaft Allg KDK Kaunas, Litauen",2019-12-07,
M,AK1,Raw,93,Total,705,MUSIL Michael,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK2,Raw,93,Total,705,MUSIL Michael,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK3,Raw,93,Total,512.5,SOLANAKIS Dimitrios,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
M,AK4,Raw,93,Total,370,KHOSROW Riahi,"Landesmeisterschaft Nö KDK Amstetten, Nö",2021-08-14,
M,Open,Raw,105,Total,836.5,DEMIR Hamza,"Weltmeisterschaft Jugend KDK Cluj-Napoca, Rumänien",2023-09-03,
M,Jugend,Raw,105,Total,836.5,DEMIR Hamza,"Weltmeisterschaft Jugend KDK Cluj-Napoca, Rumänien",2023-09-03,
M,Junioren,Raw,105,Total,836.5,DEMIR Hamza,"Weltmeisterschaft Jugend KDK Cluj-Napoca, Rumänien",2023-09-03,
M,AK1,Raw,105,Total,800,BRUNNER Rene,"Europameisterschaft Masters KDK Budapest, Ungarn",2023-03-05,
M,AK2,Raw,105,Total,582.5,RASPOTNIG Günther,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK3,Raw,105,Total,562.5,HUEMER Franz,"Salzburger Meisterschaft KDK Salzburg, S",2023-04-23,
M,AK4,Raw,105,Total,275,WAGENLEITNER Günther,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2022-03-20,
M,Open,Raw,120,Total,840,LEITNER Michael,"Staatsmeisterschaft Allg KDK Wien, W",2024-09-15,
M,Jugend,Raw,120,Total,690,KELEMEN Raphael,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,Junioren,Raw,120,Total,782.5,BACHNER Ludwig,"Europameisterschat Allg KDK Västeras, Schweden",2021-12-12,
M,AK1,Raw,120,Total,775,KASPAREK Gernot,"Europameisterschaft Allg 1-4 KDK Pilsen, Tschechien",2015-03-28,
